country,country_code,year_week,level,region,region_name,new_cases,tests_done,population,testing_rate,positivity_rate,testing_data_source
Austria,AT,2020-W01,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W02,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W03,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W04,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W05,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W06,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W07,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W08,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W09,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W10,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W11,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W12,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W13,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W14,national,AT,Austria,,,8932664,,,
Austria,AT,2020-W15,national,AT,Austria,1841,12339,8932664,138.133484,14.92017181,Manual webscraping
Austria,AT,2020-W16,national,AT,Austria,684,58488,8932664,654.7654765,1.169470661,Manual webscraping
Austria,AT,2020-W17,national,AT,Austria,448,33443,8932664,374.3899916,1.33959274,Manual webscraping
Austria,AT,2020-W18,national,AT,Austria,312,26598,8932664,297.7611158,1.173020528,Country website
Austria,AT,2020-W19,national,AT,Austria,264,42153,8932664,471.8972974,0.626289944,Country website
Austria,AT,2020-W20,national,AT,Austria,335,46001,8932664,514.9751519,0.728245038,Country website
Austria,AT,2020-W21,national,AT,Austria,265,39348,8932664,440.4956909,0.673477686,Country website
Austria,AT,2020-W22,national,AT,Austria,195,46677,8932664,522.5428831,0.417764638,Country website
Austria,AT,2020-W23,national,AT,Austria,227,41063,8932664,459.6948906,0.552809098,Country website
Austria,AT,2020-W24,national,AT,Austria,172,35243,8932664,394.5407551,0.488040178,Country website
Austria,AT,2020-W25,national,AT,Austria,248,15775,8932664,176.5990526,1.572107765,Country website
Austria,AT,2020-W26,national,AT,Austria,335,61905,8932664,693.0183426,0.541151765,Country website
Austria,AT,2020-W27,national,AT,Austria,640,45284,8932664,506.9484311,1.413302712,Country website
Austria,AT,2020-W28,national,AT,Austria,596,48936,8932664,547.8320913,1.21791728,Country website
Austria,AT,2020-W29,national,AT,Austria,784,51929,8932664,581.3383331,1.509753702,Country website
Austria,AT,2020-W30,national,AT,Austria,872,99229,8932664,1110.855619,0.878775358,Country website
Austria,AT,2020-W31,national,AT,Austria,794,57416,8932664,642.7645773,1.382889787,Country website
Austria,AT,2020-W32,national,AT,Austria,722,56554,8932664,633.1146005,1.276655939,Country website
Austria,AT,2020-W33,national,AT,Austria,1463,56622,8932664,633.8758516,2.583801349,Country website
Austria,AT,2020-W34,national,AT,Austria,1907,76497,8932664,856.3738656,2.492908219,Country website
Austria,AT,2020-W35,national,AT,Austria,1941,77105,8932664,863.1803458,2.517346476,Country website
Austria,AT,2020-W36,national,AT,Austria,2268,83733,8932664,937.379935,2.708609509,Country website
Austria,AT,2020-W37,national,AT,Austria,3997,86241,8932664,965.4566656,4.634686518,Country website
Austria,AT,2020-W38,national,AT,Austria,5212,102617,8932664,1148.783834,5.079080464,Country website
Austria,AT,2020-W39,national,AT,Austria,4656,110816,8932664,1240.570562,4.201559342,Country website
Austria,AT,2020-W40,national,AT,Austria,5598,130874,8932664,1465.117237,4.27739658,Country website
Austria,AT,2020-W41,national,AT,Austria,7488,124663,8932664,1395.585908,6.006593777,TESSy
Austria,AT,2020-W42,national,AT,Austria,9904,129647,8932664,1451.381133,7.639204918,TESSy
Austria,AT,2020-W43,national,AT,Austria,18274,158997,8932664,1779.950528,11.49329862,TESSy
Austria,AT,2020-W44,national,AT,Austria,31620,167926,8932664,1879.90951,18.82972262,TESSy
Austria,AT,2020-W45,national,AT,Austria,44760,199567,8932664,2234.126348,22.42855783,TESSy
Austria,AT,2020-W46,national,AT,Austria,47886,215044,8932664,2407.38933,22.26800097,TESSy
Austria,AT,2020-W47,national,AT,Austria,40745,207745,8932664,2325.677984,19.61298708,TESSy
Austria,AT,2020-W48,national,AT,Austria,31165,196461,8932664,2199.355086,15.86319931,TESSy
Austria,AT,2020-W49,national,AT,Austria,23081,163770,8932664,1833.383636,14.09354583,TESSy
Austria,AT,2020-W50,national,AT,Austria,18707,162984,8932664,1824.584469,11.47781377,TESSy
Austria,AT,2020-W51,national,AT,Austria,14864,185766,8932664,2079.625966,8.001464208,TESSy
Austria,AT,2020-W52,national,AT,Austria,13344,163961,8932664,1835.521856,8.138520746,TESSy
Austria,AT,2020-W53,national,AT,Austria,14907,127657,8932664,1429.103345,11.67738549,TESSy
Austria,AT,2021-W01,national,AT,Austria,14718,137035,8932664,1534.088823,10.74032182,TESSy
Austria,AT,2021-W02,national,AT,Austria,11282,911735,8932664,10206.75355,1.237420961,TESSy
Austria,AT,2021-W03,national,AT,Austria,10719,1144351,8932664,12810.85911,0.936688132,TESSy
Austria,AT,2021-W04,national,AT,Austria,10409,655713,8932664,7340.620894,1.587432307,TESSy
Austria,AT,2021-W05,national,AT,Austria,10707,960284,8932664,10750.25323,1.114982651,TESSy
Austria,AT,2021-W06,national,AT,Austria,10019,1477892,8932664,16544.80679,0.677925045,TESSy
Austria,AT,2021-W07,national,AT,Austria,12569,1500910,8932664,16802.49028,0.837425295,TESSy
Austria,AT,2021-W08,national,AT,Austria,17752,1582385,8932664,17714.5922,1.121850877,TESSy
Austria,AT,2021-W09,national,AT,Austria,20508,1651867,8932664,18492.43406,1.24150431,TESSy
